thread_id,kind,participants,messages,sent_by_me,received,with_text,with_attachments,first_message,last_message,span_days
6ffda85c59cac4fd,individual,1,1,0,1,1,0,2018-10-20,2018-10-20,0
39314447fa5de628,individual,1,1,0,1,1,0,2018-10-23,2018-10-23,0
f6a67d1e760e9bc4,individual,1,1,0,1,1,0,2018-10-25,2018-10-25,0
9efdf8ea15a7ec84,individual,0,1,1,0,1,0,2018-10-25,2018-10-25,0
5b85a4b76f2b6b9f,individual,1,1,0,1,1,0,2018-11-01,2018-11-01,0
f54c20a4c0739291,individual,1,1,0,1,1,0,2018-11-23,2018-11-23,0
538b83779cb64242,individual,1,1,0,1,1,0,2018-11-23,2018-11-23,0
93b5e3d151c6a0d5,individual,1,1,0,1,1,0,2018-11-27,2018-11-27,0
c5eb4da7e43f95fb,individual,1,1,0,1,1,0,2018-11-27,2018-11-27,0
ad35ac8134fdb0ca,individual,1,1,0,1,1,0,2018-12-07,2018-12-07,0
0719ff26bf879a39,individual,1,1,0,1,1,1,2018-12-07,2018-12-07,0
3589ea4c0aa5c9cc,individual,1,1,0,1,1,0,2018-12-21,2018-12-21,0
5e3c6f135f471700,individual,1,1,0,1,1,0,2019-01-22,2019-01-22,0
bae41d3de598279f,group,1,1,0,1,1,0,2019-01-29,2019-01-29,0
f0bc2ffafb30b3f1,individual,0,1,1,0,1,0,2019-02-11,2019-02-11,0
47d581fea5703c12,individual,1,1,0,1,1,0,2019-02-22,2019-02-22,0
684be09e7cf0d442,individual,1,1,0,1,1,0,2019-02-22,2019-02-22,0
93220b78fb8d858f,individual,1,1,0,1,1,0,2019-02-27,2019-02-27,0
c163700292f06df4,individual,1,1,0,1,1,0,2019-04-04,2019-04-04,0
b58bff9dfdfa0dd6,individual,0,1,1,0,1,0,2019-04-11,2019-04-11,0
9af2797f3452ee3f,individual,0,1,1,0,1,0,2019-04-18,2019-04-18,0
41c620c0e8fa3086,individual,0,1,1,0,1,0,2019-05-24,2019-05-24,0
4c844ee6c63f8fe1,individual,1,1,0,1,1,0,2019-05-25,2019-05-25,0
b4197900929389a7,individual,1,1,0,1,0,1,2019-05-25,2019-05-25,0
411b830b3ddcde56,individual,0,1,1,0,1,0,2019-05-26,2019-05-26,0
523f7852b1021e57,individual,1,1,0,1,0,1,2019-05-30,2019-05-30,0
e7ebd202c874f100,individual,1,1,0,1,0,1,2019-06-01,2019-06-01,0
ebbc3c20fa2d9a87,individual,1,1,0,1,0,1,2019-06-01,2019-06-01,0
cb404f14d6f6522b,individual,1,1,0,1,1,0,2019-06-01,2019-06-01,0
decedc484e34beba,individual,1,1,0,1,1,1,2019-06-04,2019-06-04,0
afe8e4f2a346e146,individual,1,1,0,1,0,1,2019-06-04,2019-06-04,0
856a5ea4f79aca6e,individual,1,1,0,1,1,0,2019-06-05,2019-06-05,0
8ccfaa851450a234,individual,0,1,1,0,1,0,2019-06-06,2019-06-06,0
5a47960065532632,individual,1,1,0,1,1,0,2019-06-06,2019-06-06,0
a47db9cc29f4eb0f,individual,1,1,0,1,1,0,2019-06-07,2019-06-07,0
45e07c1d182280ff,individual,1,1,0,1,1,0,2019-06-09,2019-06-09,0
11f8b73d19255dee,individual,1,1,0,1,1,1,2019-06-12,2019-06-12,0
dae9bfdddb69b96c,individual,0,1,1,0,1,0,2019-06-15,2019-06-15,0
894302efb6aafe2b,individual,1,1,0,1,1,0,2019-06-16,2019-06-16,0
05c2045916ecc2a5,individual,1,1,0,1,1,0,2019-06-20,2019-06-20,0
8d5aee6bb74a6491,individual,1,1,0,1,1,0,2019-06-21,2019-06-21,0
2159de07fb8dea57,individual,1,1,0,1,1,0,2019-06-21,2019-06-21,0
d1ee63f40a938234,individual,1,1,0,1,1,0,2019-06-22,2019-06-22,0
ce66b0fb21cf743b,individual,1,1,0,1,1,0,2019-06-23,2019-06-23,0
9fd9f96e4585bf48,individual,1,1,0,1,0,1,2019-06-23,2019-06-23,0
a7b84e2dcca70b62,individual,1,1,0,1,0,1,2019-06-24,2019-06-24,0
72b17423a8b2a3db,individual,1,1,0,1,0,1,2019-06-24,2019-06-24,0
703e6450e16c35dd,individual,1,1,0,1,0,1,2019-06-24,2019-06-24,0
55994206662dbe15,individual,1,1,0,1,1,0,2019-06-24,2019-06-24,0
7df512e066e85410,individual,0,1,1,0,0,1,2019-07-04,2019-07-04,0
dc6876bf9d3b7dd3,individual,1,1,0,1,1,0,2019-07-16,2019-07-16,0
ac52053f31e51671,individual,0,1,1,0,1,0,2019-07-20,2019-07-20,0
5b95bb2b2089b05f,individual,1,1,0,1,0,1,2019-07-23,2019-07-23,0
a1ae5f74c6fc1dc5,individual,1,1,0,1,1,0,2019-07-23,2019-07-23,0
